 +Z End : Circumference,,,,, -Z End : Circumference,,,,, +Z End : I-Beam +1 ,,,,, +Z End : I-Beam +2,,,,, +Z End : I-Beam +3,,,,, +Z End : I-Beam +4,,,,, +Z End : I-Beam +5,,,,, +Z End : I-Beam +6,,,,, +Z End : I-Beam +7,,,,, +Z End : I-Beam +8,,,,, +Z End : I-Beam +9,,,,, +Z End : I-Beam +10,,,,, +Z End : I-Beam +11,,,,, +Z End : I-Beam +12,,,,, +Z End : I-Beam +13 ,,,,, +Z End : I-Beam +14,,,,, +Z End : I-Beam +15,,,,, +Z End : I-Beam +16,,,,, +Z End : I-Beam +17,,,,, +Z End : I-Beam +18,,,,, +Z End : I-Beam +19 ,,,
C27,,,,,C27,,,,,I-1_F-7,,,,,I-2_F-7,,,,,I-3_F-7,,,,,I-4_F-7,,,,,I-5_F-7,,,,,I-6_F-7,,,,,I-7_F-7,,,,,I-8_F-7,,,,,I-9_F-7,,,,,I-10_F-7,,,,,I-11_F-7,,,,,I-12_F-7,,,,,I-13_F-7,,,,,I-14_F-7,,,,,I-15_F-7,,,,,I-16_F-7,,,,,I-17_F-7,,,,,I-18_F-7,,,,,I-19_F-7,,,
C28,,,,,C28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C29,,,,,C29,,,,, -Z End : I-Beam -20,,,,, -Z End : I-Beam -21,,,,, -Z End : I-Beam -22,,,,, -Z End : I-Beam -23,,,,, -Z End : I-Beam -24,,,,, -Z End : I-Beam -25,,,,, -Z End : I-Beam -26,,,,, -Z End : I-Beam -27 ,,,,, -Z End : I-Beam -28,,,,, -Z End : I-Beam -29,,,,, -Z End : I-Beam -30,,,,, -Z End : I-Beam -31,,,,, -Z End : I-Beam -32,,,,, -Z End : I-Beam -33,,,,, -Z End : I-Beam -34,,,,, -Z End : I-Beam -35,,,,, -Z End : I-Beam -36,,,,, -Z End : I-Beam -37,,,,, -Z End : I-Beam -38,,,
C30,,,,,C30,,,,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z,,,X,Y,Z
,,,,,,,,,,I-20_F-1,,,,,I-21_F-1,,,,,I-22_F-1,,,,,I-23_F-1,,,,,I-24_F-1,,,,,I-25_F-1,,,,,I-26_F-1,,,,,I-27_F-1,,,,,I-28_F-1,,,,,I-29_F-1,,,,,I-30_F-1,,,,,I-31_F-1,,,,,I-32_F-1,,,,,I-33_F-1,,,,,I-34_F-1,,,,,I-35_F-1,,,,,I-36_F-1,,,,,I-37_F-1,,,,,I-38_F-1,,,
,,,,,,,,,,I-20_F-2,,,,,I-21_F-2,,,,,I-22_F-2,,,,,I-23_F-2,,,,,I-24_F-2,,,,,I-25_F-2,,,,,I-26_F-2,,,,,I-27_F-2,,,,,I-28_F-2,,,,,I-29_F-2,,,,,I-30_F-2,,,,,I-31_F-2,,,,,I-32_F-2,,,,,I-33_F-2,,,,,I-34_F-2,,,,,I-35_F-2,,,,,I-36_F-2,,,,,I-37_F-2,,,,,I-38_F-2,,,
,,,,,,,,,,I-20_F-3,,,,,I-21_F-3,,,,,I-22_F-3,,,,,I-23_F-3,,,,,I-24_F-3,,,,,I-25_F-3,,,,,I-26_F-3,,,,,I-27_F-3,,,,,I-28_F-3,,,,,I-29_F-3,,,,,I-30_F-3,,,,,I-31_F-3,,,,,I-32_F-3,,,,,I-33_F-3,,,,,I-34_F-3,,,,,I-35_F-3,,,,,I-36_F-3,,,,,I-37_F-3,,,,,I-38_F-3,,,
,,,,,,,,,,I-20_F-4,,,,,I-21_F-4,,,,,I-22_F-4,,,,,I-23_F-4,,,,,I-24_F-4,,,,,I-25_F-4,,,,,I-26_F-4,,,,,I-27_F-4,,,,,I-28_F-4,,,,,I-29_F-4,,,,,I-30_F-4,,,,,I-31_F-4,,,,,I-32_F-4,,,,,I-33_F-4,,,,,I-34_F-4,,,,,I-35_F-4,,,,,I-36_F-4,,,,,I-37_F-4,,,,,I-38_F-4,,,
,,,,,,,,,,I-20_F-5,,,,,I-21_F-5,,,,,I-22_F-5,,,,,I-23_F-5,,,,,I-24_F-5,,,,,I-25_F-5,,,,,I-26_F-5,,,,,I-27_F-5,,,,,I-28_F-5,,,,,I-29_F-5,,,,,I-30_F-5,,,,,I-31_F-5,,,,,I-32_F-5,,,,,I-33_F-5,,,,,I-34_F-5,,,,,I-35_F-5,,,,,I-36_F-5,,,,,I-37_F-5,,,,,I-38_F-5,,,
,,,,,,,,,,I-20_F-6,,,,,I-21_F-6,,,,,I-22_F-6,,,,,I-23_F-6,,,,,I-24_F-6,,,,,I-25_F-6,,,,,I-26_F-6,,,,,I-27_F-6,,,,,I-28_F-6,,,,,I-29_F-6,,,,,I-30_F-6,,,,,I-31_F-6,,,,,I-32_F-6,,,,,I-33_F-6,,,,,I-34_F-6,,,,,I-35_F-6,,,,,I-36_F-6,,,,,I-37_F-6,,,,,I-38_F-6,,,
,,,,,,,,,,I-20_F-7,,,,,I-21_F-7,,,,,I-22_F-7,,,,,I-23_F-7,,,,,I-24_F-7,,,,,I-25_F-7,,,,,I-26_F-7,,,,,I-27_F-7,,,,,I-28_F-7,,,,,I-29_F-7,,,,,I-30_F-7,,,,,I-31_F-7,,,,,I-32_F-7,,,,,I-33_F-7,,,,,I-34_F-7,,,,,I-35_F-7,,,,,I-36_F-7,,,,,I-37_F-7,,,,,I-38_F-7,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"I1_F1 refers to ""I-Beam +1 : Foot +1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
